freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.584893e+05,2.000000e-02,-1.004137e+01,1.004139e+01,-89.8859
1.640590e+05,2.000000e-02,-9.700428e+00,9.700449e+00,-89.8819
1.698244e+05,2.000000e-02,-9.371062e+00,9.371083e+00,-89.8777
1.757924e+05,2.000000e-02,-9.052876e+00,9.052898e+00,-89.8734
1.819701e+05,2.000000e-02,-8.745491e+00,8.745513e+00,-89.8690
1.883649e+05,2.000000e-02,-8.448539e+00,8.448563e+00,-89.8644
1.949845e+05,2.000000e-02,-8.161667e+00,8.161691e+00,-89.8596
2.018366e+05,2.000000e-02,-7.884532e+00,7.884557e+00,-89.8547
2.089296e+05,2.000000e-02,-7.616803e+00,7.616829e+00,-89.8496
2.162719e+05,2.000000e-02,-7.358162e+00,7.358189e+00,-89.8443
2.238721e+05,2.000000e-02,-7.108299e+00,7.108328e+00,-89.8388
2.317395e+05,2.000000e-02,-6.866917e+00,6.866946e+00,-89.8331
2.398833e+05,2.000000e-02,-6.633728e+00,6.633758e+00,-89.8273
2.483133e+05,2.000000e-02,-6.408453e+00,6.408484e+00,-89.8212
2.570396e+05,2.000000e-02,-6.190823e+00,6.190855e+00,-89.8149
2.660725e+05,2.000000e-02,-5.980579e+00,5.980613e+00,-89.8084
2.754229e+05,2.000000e-02,-5.777471e+00,5.777505e+00,-89.8017
2.851018e+05,2.000000e-02,-5.581255e+00,5.581291e+00,-89.7947
2.951209e+05,2.000000e-02,-5.391698e+00,5.391735e+00,-89.7875
3.054921e+05,2.000000e-02,-5.208573e+00,5.208612e+00,-89.7800
3.162278e+05,2.000000e-02,-5.031663e+00,5.031703e+00,-89.7723
3.273407e+05,2.000000e-02,-4.860756e+00,4.860797e+00,-89.7643
3.388442e+05,2.000000e-02,-4.695647e+00,4.695690e+00,-89.7560
3.507519e+05,2.000000e-02,-4.536141e+00,4.536185e+00,-89.7474
3.630781e+05,2.000000e-02,-4.382046e+00,4.382092e+00,-89.7385
