freq_Hz,relerr_A,relerr_B,relerr_C_unw,relerr_D_weighted
3.437042e+03,8.122885e-02,9.292114e-03,1.684248e-07,3.447401e-05
3.594432e+03,8.137534e-02,9.169315e-03,1.796509e-07,3.574403e-05
3.759029e+03,8.152033e-02,9.050778e-03,1.914053e-07,3.694534e-05
3.931163e+03,8.166416e-02,8.936510e-03,2.037165e-07,3.806226e-05
4.111179e+03,8.180719e-02,8.826481e-03,2.166204e-07,3.908309e-05
4.299439e+03,8.194982e-02,8.720626e-03,2.301618e-07,3.999943e-05
4.496319e+03,8.209243e-02,8.618852e-03,2.443961e-07,4.080551e-05
4.702215e+03,8.223544e-02,8.521041e-03,2.593907e-07,4.149782e-05
4.917540e+03,8.237925e-02,8.427053e-03,2.752266e-07,4.207466e-05
5.142725e+03,8.252426e-02,8.336732e-03,2.920000e-07,4.253592e-05
5.378221e+03,8.267084e-02,8.249914e-03,3.098242e-07,4.288281e-05
5.624501e+03,8.281935e-02,8.166426e-03,3.288309e-07,4.311779e-05
5.882059e+03,8.297013e-02,8.086093e-03,3.491714e-07,4.324437e-05
6.151412e+03,8.312346e-02,8.008746e-03,3.710175e-07,4.326713e-05
6.433098e+03,8.327960e-02,7.934220e-03,3.945621e-07,4.319160e-05
6.727683e+03,8.343876e-02,7.862366e-03,4.200185e-07,4.302429e-05
7.035758e+03,8.360107e-02,7.793045e-03,4.476199e-07,4.277269e-05
7.357941e+03,8.376665e-02,7.726142e-03,4.776176e-07,4.244525e-05
7.694877e+03,8.393552e-02,7.661562e-03,5.102784e-07,4.205141e-05
8.047242e+03,8.410766e-02,7.599234e-03,5.458816e-07,4.160161e-05
8.415742e+03,8.428299e-02,7.539114e-03,5.847155e-07,4.110727e-05
8.801117e+03,8.446135e-02,7.481190e-03,6.270730e-07,4.058080e-05
9.204139e+03,8.464254e-02,7.425476e-03,6.732480e-07,4.003550e-05
9.625617e+03,8.482630e-02,7.372021e-03,7.235307e-07,3.948553e-05
1.006639e+04,8.501233e-02,7.320900e-03,7.782040e-07,3.894570e-05
1.052736e+04,8.520028e-02,7.272222e-03,8.375405e-07,3.843138e-05
1.100943e+04,8.538977e-02,7.226125e-03,9.017992e-07,3.795815e-05
1.151357e+04,8.558039e-02,7.182774e-03,9.712243e-07,3.754153e-05
1.204080e+04,8.577174e-02,7.142359e-03,1.046044e-06,3.719660e-05
1.259218e+04,8.596340e-02,7.105095e-03,1.126469e-06,3.693755e-05
1.316880e+04,8.615495e-02,7.071216e-03,1.212696e-06,3.677722e-05
1.377183e+04,8.634602e-02,7.040973e-03,1.304907e-06,3.672671e-05
1.440247e+04,8.653624e-02,7.014630e-03,1.403274e-06,3.679491e-05
1.506199e+04,8.672531e-02,6.992462e-03,1.507959e-06,3.698824e-05
1.575171e+04,8.691295e-02,6.974749e-03,1.619122e-06,3.731045e-05
1.647302e+04,8.709894e-02,6.961773e-03,1.736925e-06,3.776259e-05
1.722735e+04,8.728313e-02,6.953815e-03,1.861536e-06,3.834311e-05
1.801623e+04,8.746542e-02,6.951152e-03,1.993140e-06,3.904808e-05
1.884123e+04,8.764579e-02,6.954052e-03,2.131940e-06,3.987151e-05
1.970401e+04,8.782428e-02,6.962771e-03,2.278174e-06,4.080573e-05
2.060630e+04,8.800097e-02,6.977551e-03,2.432116e-06,4.184172e-05
2.154991e+04,8.817603e-02,6.998618e-03,2.594093e-06,4.296946e-05
2.253672e+04,8.834967e-02,7.026176e-03,2.764494e-06,4.417827e-05
2.356873e+04,8.852216e-02,7.060409e-03,2.943783e-06,4.545695e-05
2.464799e+04,8.869381e-02,7.101474e-03,3.132512e-06,4.679403e-05
2.577667e+04,8.886496e-02,7.149502e-03,3.331339e-06,4.817785e-05
2.695704e+04,8.903600e-02,7.204595e-03,3.541043e-06,4.959661e-05
2.819146e+04,8.920731e-02,7.266823e-03,3.762543e-06,5.103846e-05
2.948241e+04,8.937933e-02,7.336224e-03,3.996915e-06,5.249146e-05
3.083248e+04,8.955245e-02,7.412800e-03,4.245414e-06,5.394363e-05
3.224436e+04,8.972710e-02,7.496516e-03,4.509490e-06,5.538295e-05
3.372090e+04,8.990367e-02,7.587301e-03,4.790812e-06,5.679742e-05
3.526505e+04,9.008253e-02,7.685040e-03,5.091277e-06,5.817505e-05
3.687992e+04,9.026404e-02,7.789584e-03,5.413031e-06,5.950399e-05
3.856873e+04,9.044850e-02,7.900737e-03,5.758475e-06,6.077263e-05
4.033487e+04,9.063616e-02,8.018268e-03,6.130273e-06,6.196975e-05
4.218189e+04,9.082723e-02,8.141902e-03,6.531347e-06,6.308467e-05
4.411349e+04,9.102186e-02,8.271329e-03,6.964873e-06,6.410753e-05
4.613354e+04,9.122011e-02,8.406200e-03,7.434261e-06,6.502954e-05
4.824610e+04,9.142200e-02,8.546135e-03,7.943133e-06,6.584323e-05
5.045539e+04,9.162748e-02,8.690723e-03,8.495291e-06,6.654286e-05
5.276585e+04,9.183639e-02,8.839530e-03,9.094685e-06,6.712473e-05
5.518211e+04,9.204856e-02,8.992101e-03,9.745364e-06,6.758757e-05
5.770902e+04,9.226369e-02,9.147968e-03,1.045144e-05,6.793296e-05
6.035164e+04,9.248147e-02,9.306658e-03,1.121704e-05,6.816568e-05
6.311527e+04,9.270151e-02,9.467697e-03,1.204626e-05,6.829415e-05
6.600545e+04,9.292338e-02,9.630621e-03,1.294314e-05,6.833070e-05
6.902799e+04,9.314661e-02,9.794982e-03,1.391163e-05,6.829193e-05
7.218893e+04,9.337072e-02,9.960355e-03,1.495556e-05,6.819884e-05
7.549461e+04,9.359520e-02,1.012635e-02,1.607862e-05,6.807694e-05
7.895167e+04,9.381956e-02,1.029261e-02,1.728440e-05,6.795607e-05
8.256704e+04,9.404331e-02,1.045882e-02,1.857634e-05,6.787011e-05
8.634796e+04,9.426600e-02,1.062474e-02,1.995780e-05,6.785625e-05
9.030202e+04,9.448720e-02,1.079015e-02,2.143203e-05,6.795408e-05
9.443715e+04,9.470656e-02,1.095490e-02,2.300230e-05,6.820420e-05
9.876163e+04,9.492375e-02,1.111892e-02,2.467185e-05,6.864658e-05
1.032841e+05,9.513855e-02,1.128218e-02,2.644403e-05,6.931868e-05
1.080137e+05,9.535077e-02,1.144471e-02,2.832230e-05,7.025349e-05
1.129599e+05,9.556032e-02,1.160663e-02,3.031034e-05,7.147770e-05
1.181326e+05,9.576719e-02,1.176807e-02,3.241214e-05,7.301021e-05
1.235421e+05,9.597145e-02,1.192926e-02,3.463203e-05,7.486123e-05
1.291994e+05,9.617322e-02,1.209045e-02,3.697484e-05,7.703189e-05
1.351157e+05,9.637273e-02,1.225195e-02,3.944594e-05,7.951456e-05
1.413030e+05,9.657026e-02,1.241410e-02,4.205136e-05,8.229360e-05
1.477735e+05,9.676617e-02,1.257729e-02,4.479789e-05,8.534648e-05
1.545404e+05,9.696085e-02,1.274190e-02,4.769321e-05,8.864504e-05
1.616171e+05,9.715478e-02,1.290837e-02,5.074599e-05,9.215672e-05
1.690179e+05,9.734844e-02,1.307712e-02,5.396602e-05,9.584568e-05
1.767576e+05,9.754239e-02,1.324858e-02,5.736436e-05,9.967380e-05
1.848517e+05,9.773717e-02,1.342319e-02,6.095344e-05,1.036014e-04
1.933165e+05,9.793338e-02,1.360135e-02,6.474725e-05,1.075879e-04
2.021689e+05,9.813159e-02,1.378346e-02,6.876149e-05,1.115922e-04
2.114266e+05,9.833240e-02,1.396986e-02,7.301369e-05,1.155732e-04
2.211083e+05,9.853638e-02,1.416089e-02,7.752341e-05,1.194901e-04
2.312333e+05,9.874408e-02,1.435682e-02,8.231241e-05,1.233025e-04
2.418220e+05,9.895602e-02,1.455787e-02,8.740476e-05,1.269713e-04
2.528955e+05,9.917269e-02,1.476419e-02,9.282703e-05,1.304586e-04
2.644762e+05,9.939453e-02,1.497588e-02,9.860838e-05,1.337281e-04
2.765871e+05,9.962191e-02,1.519297e-02,1.047807e-04,1.367464e-04
2.892526e+05,9.985514e-02,1.541542e-02,1.113786e-04,1.394827e-04
3.024981e+05,1.000945e-01,1.564309e-02,1.184396e-04,1.419102e-04
3.163502e+05,1.003401e-01,1.587578e-02,1.260038e-04,1.440067e-04
3.308365e+05,1.005921e-01,1.611323e-02,1.341143e-04,1.457556e-04
3.459862e+05,1.008505e-01,1.635508e-02,1.428162e-04,1.471468e-04
3.618297e+05,1.011152e-01,1.660093e-02,1.521575e-04,1.481780e-04
3.783986e+05,1.013860e-01,1.685028e-02,1.621878e-04,1.488554e-04
3.957263e+05,1.016629e-01,1.710263e-02,1.729586e-04,1.491952e-04
4.138475e+05,1.019454e-01,1.735738e-02,1.845223e-04,1.492246e-04
4.327985e+05,1.022332e-01,1.761393e-02,1.969323e-04,1.489827e-04
4.526172e+05,1.025260e-01,1.787165e-02,2.102423e-04,1.485213e-04
4.733436e+05,1.028233e-01,1.812990e-02,2.245055e-04,1.479054e-04
4.950190e+05,1.031247e-01,1.838804e-02,2.397743e-04,1.472130e-04
5.176870e+05,1.034298e-01,1.864544e-02,2.560998e-04,1.465348e-04
5.413930e+05,1.037380e-01,1.890149e-02,2.735313e-04,1.459721e-04
5.661845e+05,1.040491e-01,1.915564e-02,2.921156e-04,1.456340e-04
5.921113e+05,1.043626e-01,1.940735e-02,3.118970e-04,1.456337e-04
6.192254e+05,1.046782e-01,1.965616e-02,3.329169e-04,1.460825e-04
6.475810e+05,1.049957e-01,1.990166e-02,3.552135e-04,1.470838e-04
6.772351e+05,1.053151e-01,2.014348e-02,3.788219e-04,1.487258e-04
7.082472e+05,1.056361e-01,2.038135e-02,4.037738e-04,1.510755e-04
7.406794e+05,1.059588e-01,2.061502e-02,4.300981e-04,1.541734e-04
7.745967e+05,1.062835e-01,2.084433e-02,4.578205e-04,1.580305e-04
8.100671e+05,1.066103e-01,2.106916e-02,4.869644e-04,1.626280e-04
8.471618e+05,1.069397e-01,2.128944e-02,5.175507e-04,1.679194e-04
8.859552e+05,1.072720e-01,2.150512e-02,5.495986e-04,1.738340e-04
9.265250e+05,1.076079e-01,2.171619e-02,5.831259e-04,1.802815e-04
9.689526e+05,1.079480e-01,2.192267e-02,6.181495e-04,1.871574e-04
1.013323e+06,1.082931e-01,2.212454e-02,6.546860e-04,1.943475e-04
1.059725e+06,1.086439e-01,2.232182e-02,6.927521e-04,2.017319e-04
1.108252e+06,1.090015e-01,2.251446e-02,7.323655e-04,2.091880e-04
1.159002e+06,1.093666e-01,2.270240e-02,7.735452e-04,2.165935e-04
1.212075e+06,1.097404e-01,2.288551e-02,8.163119e-04,2.238280e-04
1.267578e+06,1.101240e-01,2.306360e-02,8.606892e-04,2.307746e-04
1.325623e+06,1.105183e-01,2.323642e-02,9.067038e-04,2.373213e-04
1.386327e+06,1.109246e-01,2.340360e-02,9.543863e-04,2.433613e-04
1.449809e+06,1.113440e-01,2.356470e-02,1.003772e-03,2.487949e-04
1.516199e+06,1.117778e-01,2.371916e-02,1.054901e-03,2.535292e-04
1.585629e+06,1.122271e-01,2.386629e-02,1.107820e-03,2.574797e-04
1.658239e+06,1.126933e-01,2.400531e-02,1.162582e-03,2.605706e-04
1.734173e+06,1.131778e-01,2.413529e-02,1.219249e-03,2.627359e-04
1.813585e+06,1.136819e-01,2.425520e-02,1.277890e-03,2.639195e-04
1.896632e+06,1.142072e-01,2.436388e-02,1.338585e-03,2.640763e-04
1.983483e+06,1.147553e-01,2.446002e-02,1.401424e-03,2.631725e-04
2.074311e+06,1.153280e-01,2.454224e-02,1.466507e-03,2.611863e-04
2.169299e+06,1.159271e-01,2.460902e-02,1.533950e-03,2.581082e-04
2.268635e+06,1.165550e-01,2.465873e-02,1.603879e-03,2.539414e-04
2.372521e+06,1.172139e-01,2.468966e-02,1.676436e-03,2.487024e-04
2.481164e+06,1.179065e-01,2.470000e-02,1.751780e-03,2.424216e-04
2.594782e+06,1.186359e-01,2.468789e-02,1.830083e-03,2.351440e-04
2.713602e+06,1.194055e-01,2.465136e-02,1.911539e-03,2.269309e-04
2.837864e+06,1.202190e-01,2.458845e-02,1.996358e-03,2.178613e-04
2.967816e+06,1.210809e-01,2.449714e-02,2.084771e-03,2.080360e-04
3.103719e+06,1.219960e-01,2.437540e-02,2.177028e-03,1.975818e-04
3.245845e+06,1.229698e-01,2.422127e-02,2.273406e-03,1.866590e-04
3.394479e+06,1.240087e-01,2.403283e-02,2.374201e-03,1.754724e-04
3.549919e+06,1.251196e-01,2.380833e-02,2.479739e-03,1.642863e-04
3.712478e+06,1.263103e-01,2.354624e-02,2.590372e-03,1.534449e-04
3.882480e+06,1.275899e-01,2.324538e-02,2.706484e-03,1.433952e-04
4.060267e+06,1.289681e-01,2.290513e-02,2.828491e-03,1.347066e-04
4.246196e+06,1.304562e-01,2.252561e-02,2.956847e-03,1.280677e-04
4.440638e+06,1.320666e-01,2.210814e-02,3.092049e-03,1.242301e-04
4.643984e+06,1.338135e-01,2.165566e-02,3.234640e-03,1.238791e-04
4.856642e+06,1.357125e-01,2.117347e-02,3.385215e-03,1.274582e-04
5.079039e+06,1.377815e-01,2.067022e-02,3.544432e-03,1.350528e-04
5.311619e+06,1.400403e-01,2.015929e-02,3.713016e-03,1.464157e-04
5.554849e+06,1.425116e-01,1.966055e-02,3.891776e-03,1.611074e-04
5.809218e+06,1.452207e-01,1.920274e-02,4.081612e-03,1.786474e-04
6.075234e+06,1.481967e-01,1.882606e-02,4.283536e-03,1.986085e-04
6.353432e+06,1.514723e-01,1.858479e-02,4.498686e-03,2.206526e-04
6.644369e+06,1.550852e-01,1.854872e-02,4.728354e-03,2.445313e-04
6.948629e+06,1.590783e-01,1.880190e-02,4.974014e-03,2.700732e-04
7.266822e+06,1.635013e-01,1.943741e-02,5.237354e-03,2.971694e-04
7.599586e+06,1.684112e-01,2.054842e-02,5.520321e-03,3.257602e-04
7.947587e+06,1.738747e-01,2.221890e-02,5.825178e-03,3.558254e-04
8.311524e+06,1.799696e-01,2.451881e-02,6.154566e-03,3.873777e-04
8.692127e+06,1.867872e-01,2.750634e-02,6.511593e-03,4.204577e-04
9.090158e+06,1.944357e-01,3.123570e-02,6.899943e-03,4.551314e-04
9.506416e+06,2.030441e-01,3.576699e-02,7.324015e-03,4.914889e-04
9.941735e+06,2.127670e-01,4.117532e-02,7.789101e-03,5.296435e-04
1.039699e+07,2.237915e-01,4.755883e-02,8.301627e-03,5.697333e-04
1.087309e+07,2.363464e-01,5.504610e-02,8.869461e-03,6.119221e-04
1.137099e+07,2.507131e-01,6.380453e-02,9.502334e-03,6.564024e-04
1.189169e+07,2.672424e-01,7.405083e-02,1.021240e-02,7.033985e-04
1.243624e+07,2.863757e-01,8.606540e-02,1.101502e-02,7.531710e-04
1.300572e+07,3.086753e-01,1.002124e-01,1.192980e-02,8.060230e-04
1.360128e+07,3.348665e-01,1.169684e-01,1.298213e-02,8.623074e-04
1.422411e+07,3.658973e-01,1.369635e-01,1.420522e-02,9.224373e-04
1.487547e+07,4.030230e-01,1.610411e-01,1.564319e-02,9.869011e-04
1.555665e+07,4.479271e-01,1.903443e-01,1.735517e-02,1.056287e-03
1.626902e+07,5.028898e-01,2.264407e-01,1.942123e-02,1.131324e-03
1.701401e+07,5.710074e-01,2.714932e-01,2.194984e-02,1.212976e-03
1.779312e+07,6.564287e-01,3.284672e-01,2.508547e-02,1.302625e-03
1.860790e+07,7.644104e-01,4.012704e-01,2.900896e-02,1.402529e-03
1.946000e+07,9.004844e-01,4.944020e-01,3.390416e-02,1.516848e-03
2.035112e+07,1.066612e+00,6.107466e-01,3.981406e-02,1.653730e-03
2.128304e+07,1.249974e+00,7.444494e-01,4.623293e-02,1.827749e-03
2.225763e+07,1.404852e+00,8.680551e-01,5.146970e-02,2.055699e-03
2.327686e+07,1.460804e+00,9.342665e-01,5.300375e-02,2.336109e-03
2.434276e+07,1.393403e+00,9.204020e-01,5.006787e-02,2.642798e-03
2.545746e+07,1.254815e+00,8.543711e-01,4.464945e-02,2.962712e-03
2.662321e+07,1.105643e+00,7.746029e-01,3.895301e-02,3.310914e-03
2.784235e+07,9.742830e-01,7.012454e-01,3.396983e-02,3.712201e-03
2.911731e+07,8.665785e-01,6.399242e-01,2.986802e-02,4.191970e-03
3.045065e+07,7.801067e-01,5.903530e-01,2.651921e-02,4.777949e-03
3.184506e+07,7.107779e-01,5.506769e-01,2.373378e-02,5.504384e-03
3.330331e+07,6.549350e-01,5.189803e-01,2.133040e-02,6.416626e-03
3.482834e+07,6.098332e-01,4.936750e-01,1.914583e-02,7.576493e-03
3.642320e+07,5.736971e-01,4.735186e-01,1.702780e-02,9.068650e-03
3.809110e+07,5.457811e-01,4.575138e-01,1.482792e-02,1.100668e-02
3.983537e+07,5.265875e-01,4.447359e-01,1.241399e-02,1.353208e-02
4.165952e+07,5.181742e-01,4.340502e-01,9.774814e-03,1.678414e-02
4.356720e+07,5.238293e-01,4.236977e-01,7.527326e-03,2.078620e-02
4.556224e+07,5.450774e-01,4.111244e-01,7.925129e-03,2.518494e-02
4.764863e+07,5.754793e-01,3.944136e-01,1.174192e-02,2.901403e-02
4.983056e+07,6.007999e-01,3.754624e-01,1.632039e-02,3.115799e-02
5.211241e+07,6.127587e-01,3.592956e-01,1.987677e-02,3.142864e-02
5.449875e+07,6.157400e-01,3.486171e-01,2.214609e-02,3.058469e-02
5.699437e+07,6.184595e-01,3.424422e-01,2.354208e-02,2.940964e-02
5.960426e+07,6.274866e-01,3.384325e-01,2.447293e-02,2.827803e-02
6.233367e+07,6.462787e-01,3.342034e-01,2.512907e-02,2.722467e-02
6.518806e+07,6.750450e-01,3.275140e-01,2.548870e-02,2.609005e-02
6.817316e+07,7.101364e-01,3.165769e-01,2.539302e-02,2.464826e-02
7.129496e+07,7.447057e-01,3.008957e-01,2.468227e-02,2.275018e-02
7.455971e+07,7.719662e-01,2.818933e-01,2.334586e-02,2.043867e-02
7.797396e+07,7.888002e-01,2.622631e-01,2.156117e-02,1.793166e-02
8.154455e+07,7.962871e-01,2.444274e-01,1.958809e-02,1.548599e-02
8.527865e+07,7.975441e-01,2.295762e-01,1.764306e-02,1.328109e-02
