freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.883649e+05,1.799730e-01,1.183174e-02,1.803615e-01,3.7613
1.949845e+05,1.799730e-01,1.224753e-02,1.803892e-01,3.8931
2.018366e+05,1.799730e-01,1.267794e-02,1.804190e-01,4.0295
2.089296e+05,1.799730e-01,1.312347e-02,1.804509e-01,4.1706
2.162719e+05,1.799730e-01,1.358466e-02,1.804850e-01,4.3166
2.238721e+05,1.799730e-01,1.406205e-02,1.805216e-01,4.4677
2.317395e+05,1.799730e-01,1.455622e-02,1.805607e-01,4.6240
2.398833e+05,1.799731e-01,1.506776e-02,1.806027e-01,4.7858
2.483133e+05,1.799731e-01,1.559727e-02,1.806477e-01,4.9531
2.570396e+05,1.799731e-01,1.614539e-02,1.806958e-01,5.1263
2.660725e+05,1.799731e-01,1.671278e-02,1.807474e-01,5.3054
2.754229e+05,1.799731e-01,1.730010e-02,1.808027e-01,5.4907
2.851018e+05,1.799731e-01,1.790806e-02,1.808619e-01,5.6825
2.951209e+05,1.799732e-01,1.853739e-02,1.809253e-01,5.8808
3.054921e+05,1.799732e-01,1.918884e-02,1.809932e-01,6.0859
3.162278e+05,1.799732e-01,1.986317e-02,1.810660e-01,6.2981
3.273407e+05,1.799732e-01,2.056121e-02,1.811439e-01,6.5176
3.388442e+05,1.799732e-01,2.128377e-02,1.812274e-01,6.7445
3.507519e+05,1.799733e-01,2.203173e-02,1.813168e-01,6.9792
3.630781e+05,1.799733e-01,2.280597e-02,1.814125e-01,7.2220
3.758374e+05,1.799733e-01,2.360743e-02,1.815150e-01,7.4729
3.890451e+05,1.799734e-01,2.443704e-02,1.816248e-01,7.7324
4.027170e+05,1.799734e-01,2.529581e-02,1.817424e-01,8.0007
4.168694e+05,1.799734e-01,2.618476e-02,1.818683e-01,8.2780
4.315191e+05,1.799735e-01,2.710495e-02,1.820031e-01,8.5647
4.466836e+05,1.799735e-01,2.805748e-02,1.821474e-01,8.8610
4.623810e+05,1.799736e-01,2.904348e-02,1.823020e-01,9.1672
4.786301e+05,1.799736e-01,3.006413e-02,1.824674e-01,9.4835
4.954502e+05,1.799737e-01,3.112065e-02,1.826445e-01,9.8104
5.128614e+05,1.799737e-01,3.221430e-02,1.828341e-01,10.1482
5.308844e+05,1.799738e-01,3.334638e-02,1.830370e-01,10.4970
