freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.584893e+05,1.500000e-02,-1.004101e+01,1.004102e+01,-89.9144
1.640590e+05,1.500000e-02,-9.700061e+00,9.700073e+00,-89.9114
1.698244e+05,1.500000e-02,-9.370682e+00,9.370694e+00,-89.9083
1.757924e+05,1.500000e-02,-9.052483e+00,9.052495e+00,-89.9051
1.819701e+05,1.500000e-02,-8.745083e+00,8.745096e+00,-89.9017
1.883649e+05,1.500000e-02,-8.448117e+00,8.448131e+00,-89.8983
1.949845e+05,1.500000e-02,-8.161230e+00,8.161244e+00,-89.8947
2.018366e+05,1.500000e-02,-7.884080e+00,7.884094e+00,-89.8910
2.089296e+05,1.500000e-02,-7.616336e+00,7.616350e+00,-89.8872
2.162719e+05,1.500000e-02,-7.357678e+00,7.357693e+00,-89.8832
2.238721e+05,1.500000e-02,-7.107798e+00,7.107814e+00,-89.8791
2.317395e+05,1.500000e-02,-6.866399e+00,6.866415e+00,-89.8748
2.398833e+05,1.500000e-02,-6.633191e+00,6.633208e+00,-89.8704
2.483133e+05,1.500000e-02,-6.407897e+00,6.407914e+00,-89.8659
2.570396e+05,1.500000e-02,-6.190248e+00,6.190266e+00,-89.8612
2.660725e+05,1.500000e-02,-5.979984e+00,5.980003e+00,-89.8563
2.754229e+05,1.500000e-02,-5.776854e+00,5.776874e+00,-89.8512
2.851018e+05,1.500000e-02,-5.580617e+00,5.580637e+00,-89.8460
2.951209e+05,1.500000e-02,-5.391037e+00,5.391058e+00,-89.8406
3.054921e+05,1.500000e-02,-5.207890e+00,5.207911e+00,-89.8350
3.162278e+05,1.500000e-02,-5.030955e+00,5.030978e+00,-89.8292
3.273407e+05,1.500000e-02,-4.860023e+00,4.860046e+00,-89.8232
3.388442e+05,1.500000e-02,-4.694889e+00,4.694913e+00,-89.8169
3.507519e+05,1.500000e-02,-4.535356e+00,4.535381e+00,-89.8105
3.630781e+05,1.500000e-02,-4.381234e+00,4.381260e+00,-89.8038
3.758374e+05,1.500000e-02,-4.232339e+00,4.232365e+00,-89.7969
3.890451e+05,1.500000e-02,-4.088493e+00,4.088521e+00,-89.7898
4.027170e+05,1.500000e-02,-3.949525e+00,3.949554e+00,-89.7824
4.168694e+05,1.500000e-02,-3.815269e+00,3.815299e+00,-89.7747
4.315191e+05,1.500000e-02,-3.685565e+00,3.685596e+00,-89.7668
4.466836e+05,1.500000e-02,-3.560258e+00,3.560290e+00,-89.7586
4.623810e+05,1.500000e-02,-3.439199e+00,3.439232e+00,-89.7501
4.786301e+05,1.500000e-02,-3.322242e+00,3.322276e+00,-89.7413
4.954502e+05,1.500000e-02,-3.209250e+00,3.209285e+00,-89.7322
5.128614e+05,1.500000e-02,-3.100086e+00,3.100122e+00,-89.7228
5.308844e+05,1.500000e-02,-2.994620e+00,2.994658e+00,-89.7130
5.495409e+05,1.500000e-02,-2.892727e+00,2.892766e+00,-89.7029
5.688529e+05,1.500000e-02,-2.794286e+00,2.794326e+00,-89.6924
5.888437e+05,1.500000e-02,-2.699178e+00,2.699220e+00,-89.6816
6.095369e+05,1.500000e-02,-2.607290e+00,2.607333e+00,-89.6704
6.309573e+05,1.500000e-02,-2.518513e+00,2.518558e+00,-89.6588
6.531306e+05,1.500000e-02,-2.432741e+00,2.432787e+00,-89.6467
6.760830e+05,1.500000e-02,-2.349871e+00,2.349919e+00,-89.6343
6.998420e+05,1.500000e-02,-2.269804e+00,2.269854e+00,-89.6214
7.244360e+05,1.500000e-02,-2.192446e+00,2.192497e+00,-89.6080
7.498942e+05,1.500000e-02,-2.117703e+00,2.117756e+00,-89.5942
7.762471e+05,1.500000e-02,-2.045487e+00,2.045542e+00,-89.5798
8.035261e+05,1.500000e-02,-1.975711e+00,1.975768e+00,-89.5650
8.317638e+05,1.500000e-02,-1.908292e+00,1.908351e+00,-89.5496
8.609938e+05,1.500000e-02,-1.843150e+00,1.843211e+00,-89.5337
8.912509e+05,1.500000e-02,-1.780207e+00,1.780270e+00,-89.5172
9.225714e+05,1.500000e-02,-1.719388e+00,1.719453e+00,-89.5002
9.549926e+05,1.500000e-02,-1.660620e+00,1.660687e+00,-89.4825
9.885531e+05,1.500000e-02,-1.603833e+00,1.603903e+00,-89.4642
1.023293e+06,1.500000e-02,-1.548960e+00,1.549032e+00,-89.4452
1.059254e+06,1.500000e-02,-1.495934e+00,1.496009e+00,-89.4255
1.096478e+06,1.500000e-02,-1.444694e+00,1.444771e+00,-89.4051
1.135011e+06,1.500000e-02,-1.395176e+00,1.395257e+00,-89.3840
1.174898e+06,1.500000e-02,-1.347324e+00,1.347407e+00,-89.3621
1.216186e+06,1.500000e-02,-1.301079e+00,1.301165e+00,-89.3395
1.258925e+06,1.500000e-02,-1.256386e+00,1.256475e+00,-89.3160
1.303167e+06,1.500000e-02,-1.213192e+00,1.213285e+00,-89.2916
1.348963e+06,1.500000e-02,-1.171445e+00,1.171541e+00,-89.2664
1.396368e+06,1.500000e-02,-1.131096e+00,1.131196e+00,-89.2402
1.445440e+06,1.500000e-02,-1.092097e+00,1.092200e+00,-89.2131
1.496236e+06,1.500000e-02,-1.054400e+00,1.054507e+00,-89.1850
